№ | Проверка | Ожидаемый результат
1 | Отправка запроса методом POST по корректному URL с валидным телом запроса | Ответ 201 Created или 200 OK, ресурс создан
2 | POST-запрос без тела | Ответ 400 Bad Request или ошибка валидации
3 | POST-запрос с неполными данными (пропущено обязательное поле) | Ответ 400 Bad Request, сообщение о недостающем поле
4 | POST-запрос с невалидными значениями (например, строка вместо числа) | Ответ 400 Bad Request, описание ошибки в теле ответа
5 | POST-запрос с пустыми строками в обязательных полях | Ответ 400 Bad Request или сообщение об ошибке
6 | POST-запрос с лишними полями | Лишние поля игнорируются или возвращается сообщение об ошибке
7 | POST-запрос с корректным телом | Данные сохраняются на сервере, возвращается подтверждение
8 | Повторный POST-запрос с теми же данными | Ответ 409 Conflict (если ресурс уже существует) или 201 Created (если дублирование допустимо)
9 | Проверка формата тела запроса (JSON, XML и т.д.) | Сервер принимает только поддерживаемый формат, иначе — 415 Unsupported Media Type
10| Проверка заголовка Content-Type | При отсутствии или неверном типе — 400 или 415
11| Проверка корректности данных в теле ответа | Вернулся созданный объект с корректными значениями
12| POST-запрос с авторизацией (если требуется) | Ответ 201 Created при валидном токене, 401/403 при отсутствии/недействительном
13| POST-запрос без авторизации (если она обязательна) | Ответ 401 Unauthorized или 403 Forbidden
14| Проверка безопасности (SQL-инъекция, скрипты в теле запроса) | Сервер не должен исполнять вредоносный код, возвращает ошибку
15| Проверка ограничения длины полей | Ответ 400 Bad Request, если поле превышает лимит
