№ | Проверка | ОР
1.| Пустое поле email | Сообщение о незаполненном поле email
2.| Email в нижнем регистре | Значение поля принимается
3.| Email в верхнем регистре | Значение поля принимается
4.| Email с цифрами в имени пользователя | Значение поля принимается
5.| Email с цифрами в доменной части | Значение поля принимается
6.| Email с дефисом в имени пользователя | Значение поля принимается
7.| Email с дефисом в доменной части | Значение поля принимается
8.| Email со знаком подчеркивания в имени пользователя | Значение поля принимается
9.| Email с точками в имени пользователя | Значение поля принимается
10.| Email с несколькими точками в доменной части | Значение поля принимается
