№ | Проверка | ОР
1 | Поле ввода пароля присутствует | Поле видно, доступно для ввода, тип поля — password
2 | Пароль скрыт при вводе | Символы отображаются в виде точек/звёздочек (тип поля: password)
3 | Кнопка "показать/скрыть пароль" работает корректно | При включении отображается текст, при отключении — скрыт
4 | Проверка обязательности поля | При отправке без пароля — ошибка "Пароль обязателен"
5 | Минимальная длина пароля (8 символов) | При вводе менее 8 символов — сообщение об ошибке
6 | Максимальная длина (64 символа) | При превышении лимита — прекращается ввод или всплывает сообщение об ошибке
7 | Валидация сложности пароля | Проверка наличия заглавных, строчных букв, цифр, символов
8 | Сообщение об уровне сложности пароля | Подсказка отображается в процессе ввода
9 | Пароль и подтверждение пароля совпадают (если есть) | При несовпадении — сообщение об ошибке
10| Возможность вставки пароля из буфера обмена | Вставка работает, защита от XSS реализована
11| Возможность авто-заполнения браузером | Поле поддерживает автозаполнение (autocomplete="current-password" или new-password)
12| Проверка хранения пароля в DOM | Пароль не должен отображаться в value при инспекции в DevTools после отправки
13| Проверка на SQL-инъекции и XSS | Ввод ‘ OR 1=1 -- или <script> не приводит к сбоям или уязвимостям
14| Поведения при отключённом JS | Форма работает или выводится корректное сообщение
15| Проверке мобильного отображения | Поле отображается корректно, не выходит за границы экрана
16| Повторная отправка формы | Повторная отправка не вызывает дублирование/ошибки
17| Копирование текста из поля (если запрещено) | Копирование отключено (если это требование)
18| Доступность (доступ через Tab, aria-label, screen readers) | Доступно для навигации с клавиатуры и читается скринридером
19| Маскировка в мобильных браузерах | Маскировка работает, клавиатура не показывает символы
20| Проверка на символы пробелов в начале и в конце | Пробелы автоматически обрезаются или запрещаются
