№ | Проверка | ОР
1 | Пустое поле | Появляется сообщение об обязательном заполнении поля
2 | Ввод только цифр | Значение принимается
3 | Ввод с символами + (например, +79101234567) | Значение принимается (если поддерживается международный формат)
4 | Ввод с пробелами (например, +7 910 123 45 67) | Пробелы игнорируются или автоматически форматируются
5 | Ввод с дефисами (например, +7-910-123-45-67) | Дефисы игнорируются или автоматически форматируются
6 | Ввод букв в номере (например, 7910ABC4567) | Появляется сообщение об ошибке
7 | Ввод спецсимволов (!, @, # и т.д.) | Сообщение об ошибке валидации
8 | Ввод слишком короткого номера (менее 10 цифр) | Ошибка: «Номер слишком короткий»
9 | Ввод слишком длинного номера (более 15 цифр) | Ошибка: «Номер слишком длинный»
10| Автоматическое добавление кода страны | Код добавляется автоматически или предлагается выбрать из списка
11| Отображение placeholder (например, +7 (_) _--) | Placeholder помогает пользователю ввести номер в нужном формате
12| Маска при вводе (форматирование в процессе ввода) | Удобный ввод, визуально соответствует формату
13| Автозаполнение номера (из сохранённых в браузере) | Поддерживается автозаполнение
14| Повторный ввод номера с ошибкой | Валидация запускается заново


