№ | Проверка | ОР
1 | Ввод валидного логина (латиница, цифры, допустимые символы) | Поле принимает значение, ошибок нет
2 | Минимально допустимая длина | Ввод возможен, ошибок нет
3 | Меньше минимальной длины (например, 2 символа) | Ошибка: «Слишком короткий логин» или аналогичное сообщение
4 | Максимально допустимая длина (например, 20 символов) | Поле принимает значение, ошибок нет
5 | Превышение максимальной длины | Ошибка или автообрезка, валидация
6 | Ввод пробелов в начале, середине или конце | Ошибка или автоматическое удаление пробелов
7 | Ввод специальных символов, если они не разрешены | Ошибка валидации, поле не принимает ввод
8 | Ввод кириллицы или других скриптов, если не поддерживается | Ошибка: допустим только латинский алфавит
9 | Ввод emoji или нестандартных юникод-символов | Ошибка или очистка поля
10| Ввод HTML-тегов (<script>, <b> и т.п.) | Символы экранируются, скрипты не выполняются
11| SQL-инъекция (' OR 1=1 --) | Ошибка, сервер не обрабатывает вредоносный запрос
12| Повторное использование существующего логина (если проверка уникальности) | Ошибка: «Логин уже занят»
13| Оставить поле пустым и отправить форму | Ошибка: поле обязательно для заполнения
14| Сохранение логина в localStorage/sessionStorage (если используется) | Данные сохраняются безопасно 
15| Копирование/вставка текста в поле | Поле корректно обрабатывает вставленные данные
16| Мобильная клавиатура/браузер | Поле доступно, фокусируется, корректный тип клавиатуры
17| Подсказки, маска ввода или placeholder | Отображаются корректно, помогают пользователю
18| Доступность (accessibility: label, aria-attributes) | Есть подписи, доступно для скринридеров
19| Проверка логина при автозаполнении браузером | Браузер корректно заполняет поле
20| Кроссбраузерность | Поведение поля одинаково во всех поддерживаемых браузерах
